Numbers	Names	Types	No_Tones	Register	Harmonicity	Roughness	Sharpness
217	"D-F#-A-C-E"	"dom9"	5	"high"	0.553887469868465	0.465111670739486	0.911397732597381
218	"D#-G-A#-C#-F"	"dom9"	5	"high"	0.608242875655401	0.418711519819555	0.954958704021822
219	"E-G#-B-D-F#"	"dom9"	5	"high"	0.579951499644596	0.371175427686707	0.935418997780206
220	"F-A-C-D#-G"	"dom9"	5	"high"	0.575439896936155	0.446380126016899	0.897031053166482
221	"G-G#-B-C#-E"	"neappenta"	5	"high"	0.611190701000752	0.356901265772246	0.968784308174293
222	"G#-A-C-D-F"	"neappenta"	5	"high"	0.577944279559913	0.467890529595717	1.04444897383493
223	"A-A#-C#-D#-F#"	"neappenta"	5	"high"	0.593751806771041	0.440705320307109	1.05188149074109
224	"A#-B-D-E-G"	"neappenta"	5	"high"	0.594784964544701	0.447010884174192	1.03386971048069
225	"B-C-D#-F-G#"	"neappenta"	5	"high"	0.545429855603319	0.538805556612354	0.875903427766231
226	"C-C#-E-F#-A"	"neappenta"	5	"high"	0.689643758325547	0.367878545181146	0.863610628959246
227	"C#-D-F-G-A#"	"neappenta"	5	"high"	0.692395848040797	0.625892233733553	0.931099460583921
228	"D-D#-F#-G#-B"	"neappenta"	5	"high"	0.692812711991078	0.558195694567497	0.923924745889917
229	"D#-E-G-A-C"	"neappenta"	5	"high"	0.55046898102667	0.31753986569088	0.947068599301798
230	"E-F-G#-A#-C#"	"neappenta"	5	"high"	0.591525945522069	0.463448873136923	0.962530465017562
231	"F-F#-A-B-D"	"neappenta"	5	"high"	0.568351258487983	0.446434659884319	0.938328985265866
232	"G-A-B-D-E"	"pentatonic"	5	"low"	0.585133766875674	0.32731098834067	0.900232174401879
233	"G#-A#-C-D#-F"	"pentatonic"	5	"low"	0.559884142584471	0.323685837956924	1.00107526739705
234	"A-B-C#-E-F#"	"pentatonic"	5	"low"	0.60782484382433	0.350103911976439	1.04563704215874
235	"A#-C-D-F-G"	"pentatonic"	5	"low"	0.582263141935216	0.460737062932558	1.02784647334508
